case,season,age,matches,wins,losses,titles,majorTitles,centuries,highestBreak,overall,cash,cashDelta,recordedCategoryTotal,unclassifiedCashChange,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,other
age12-104729,2026/27,13,26,4,22,0,0,0,35,50,1241.5,-6758.5,-7299.5,541.0,0,2900,-156,0,-11165,-520,-2530.8,0,4172.3
age12-104729,2027/28,14,22,1,21,0,0,0,41,53,1215.3,-26.2,-84.2,58.0,0,2550,-464,0,-3606,-305,-1900,0,3640.8
age12-104729,2028/29,15,24,3,21,0,0,0,54,56,1210.1,-5.2,-509.2,504.0,3,2550,-618,0,-3714,-245,-2280,0,3794.8
age12-104729,2029/30,16,23,0,23,0,0,0,38,59,2129.9,919.8,719.8,200.0,0,2550,-1500,0,-1170,-255,-2565,-230,3889.8
age12-104729,2030/31,17,23,2,21,0,0,0,39,62,4648.12,2518.22,2568.22,-50.0,0,2956,-1168,0,-84,-300,-2565,-180,3909.22
age12-104729,2031/32,18,24,4,20,0,0,0,51,66,6925.76,2277.64,2227.64,50.0,0,2912,-1564,0,-38,-330,-2530.8,0,3778.44
age12-104729,2032/33,19,32,16,16,0,0,0,97,70,9264.86,2339.1,2289.1,50.0,510,7987,-5962,0,0,-375,-2291.4,0,2420.5
age12-104729,2033/34,20,28,15,13,0,0,0,94,73,12410.24,3145.38,3195.38,-50.0,22,7644,-5050,0,-84,-375,-2257.2,0,3295.58
age12-104729,2034/35,21,26,12,14,0,0,1,101,76,19511.26,7101.02,6901.02,200.0,8,8469,-1872,0,0,-375,-2565,0,3236.02
age12-104729,2035/36,22,16,5,11,0,0,1,129,80,22568.91,3057.65,2757.65,300.0,0,8282,-1872,0,-84,-1685,-4009,0,2125.65
age12-104729,2036/37,23,28,16,12,0,0,7,122,81,33235.52,10666.61,10466.61,200.0,12750,7426,-1872,0,-518,-1785,-4326,0,-1208.39
age12-104729,2037/38,24,30,19,11,0,0,6,138,82,62480.82,29245.3,29045.3,200.0,17060,23088,-1872,0,-84,-1785,-3806.88,0,-3554.82
age12-104729,2038/39,25,33,22,11,1,0,13,136,83,85483.76,23002.94,22952.94,50.0,8070,25481,-1716,0,-122,-1785,-4326,-180,-2469.06
age12-104729,2039/40,26,30,21,9,1,0,16,134,85,173670.95,88187.19,88237.19,-50.0,76100,24550,-156,0,0,-1685,-3556.08,0,-7015.73
age12-104729,2040/41,27,43,32,11,0,0,21,141,86,186892.74,13221.79,13171.79,50.0,4850,24182,-1872,0,-122,-1785,-4326,-360,-7395.21
age12-104729,2041/42,28,48,36,12,0,0,29,142,86,204583.98,17691.24,17541.24,150.0,8530,25293,-1872,0,-84,-1785,-4326,-540,-7674.76
age12-104729,2042/43,29,31,21,10,0,0,12,139,87,216139.57,11555.59,11605.59,-50.0,1620,28113,-1872,0,-122,-1685,-4041,-180,-10227.41
age12-104729,2043/44,30,28,17,9,0,0,16,139,88,315918.49,99778.92,98778.92,1000.0,71250,40544,-1872,0,0,0,-5480.64,-360,-5302.44
age12-104729,2044/45,31,22,11,10,0,0,21,142,88,427207.5,111289.01,109289.01,2000.0,64100,60857,-1872,0,-122,0,-6149.44,-360,-7164.55
age12-104729,2045/46,32,18,7,10,0,0,8,135,89,505808.84,78601.34,77601.34,1000.0,27000,65888,-1872,0,-84,0,-5982.24,-180,-7168.42
age12-104729,2046/47,33,17,11,6,0,0,8,128,90,557403.42,51594.58,51444.58,150.0,2000,60532,-1872,0,0,-1335,-1853.28,-360,-5667.14
age12-104729,2047/48,34,24,19,5,0,0,9,136,90,585382.24,27978.82,27778.82,200.0,2890,34382,-1872,0,-38,-1335,-1917,0,-4331.18
age12-104729,2048/49,35,13,7,6,0,0,9,139,91,601843.35,16461.11,16261.11,200.0,0,24382,-1872,0,-84,-1335,-1917,0,-2912.89
age12-104729,2049/50,36,18,15,3,1,0,11,143,91,622947.88,21104.53,20904.53,200.0,2500,24055,-1872,0,0,-1335,-1917,0,-526.47
age12-104729,2050/51,37,10,4,5,0,0,5,127,91,653348.84,30400.96,30000.96,400.0,8550,30712,-1872,0,0,-100,-2657.6,0,-4631.44
age12-104729,2051/52,38,10,4,6,0,0,5,140,91,702593.14,49244.3,48244.3,1000.0,4400,52469,-1872,0,-84,-100,-2072.4,-180,-4316.3
age12-104729,2052/53,39,12,9,3,0,0,3,135,91,738678.14,36085.0,35635.0,450.0,0,45127,-1833,0,0,-1335,-1499.88,-360,-4464.12
age12-104729,2053/54,40,7,1,5,0,0,0,87,91,763160.98,24482.84,24082.84,400.0,2000,30611,-1326,0,-38,-100,-2657.6,0,-4406.56
age12-104729,2054/55,41,24,15,9,0,0,13,145,91,858271.0,95110.02,94110.02,1000.0,42850,65225,-585,0,-84,0,-5564.24,-360,-7371.74
age12-104729,2055/56,42,15,11,4,0,0,5,138,90,911783.22,53512.22,53462.22,50.0,1790,61465,-1872,0,0,-375,-1632,-180,-5733.78
age12-104729,2056/57,43,17,12,5,0,0,10,137,89,933835.78,22052.56,21752.56,300.0,2000,27876,-1872,0,-38,-1235,-1436.16,-180,-3362.28
age12-104729,2057/58,44,14,7,7,0,0,4,128,88,951281.73,17445.95,17245.95,200.0,1200,24118,-1872,0,-84,-1335,-2001.48,0,-2779.57
age12-104729,2058/59,45,13,9,4,0,0,5,139,88,967743.9,16462.17,16512.17,-50.0,1100,21818,-1872,0,0,-375,-1568.28,0,-2590.55
age12-104729,2059/60,46,13,9,4,0,0,6,126,87,979145.32,11401.42,10951.42,450.0,400,16396,-1872,0,0,-375,-1436.16,0,-2161.42
age12-104729,2060/61,47,9,4,5,0,0,2,116,85,993124.57,13979.25,13779.25,200.0,62.5,19437,-1872,0,0,-375,-1436.16,0,-2037.09
age12-104729,2061/62,48,11,6,5,0,0,1,117,84,1011125.29,18000.72,17850.72,150.0,350,23998,-1872,0,-84,-375,-1436.16,-180,-2550.12
age12-104729,2062/63,49,14,11,3,1,0,5,119,83,1040890.28,29764.99,29464.99,300.0,9450,23797,-1872,0,-38,-375,-1436.16,0,-60.85
age12-104729,2063/64,50,16,5,10,0,0,2,137,81,1058251.33,17361.05,16961.05,400.0,2062.5,24524,-1872,0,0,0,-4445,0,-3308.45
age12-104729,2064/65,51,10,1,9,0,0,2,123,80,1105033.17,46781.84,46781.84,0.0,4000,54192,-1872,0,-84,0,-4708,0,-4746.16
age12-104729,2065/66,52,8,2,6,0,0,0,74,78,1147900.9,42867.73,42567.73,300.0,0,50862,-1872,0,0,-375,-1436.16,-180,-4431.11
age12-104729,2066/67,53,6,0,6,0,0,0,94,76,1162856.3,14955.4,14905.4,50.0,0,20715,-1872,0,0,-375,-1436.16,0,-2126.44
age12-104729,2067/68,54,9,1,8,0,0,0,87,74,1176021.06,13164.76,13114.76,50.0,0,20623,-1755,0,0,-1335,-2202,0,-2216.24
age12-104729,2068/69,55,9,1,8,0,0,0,47,72,1181365.76,5344.7,5394.7,-50.0,0,11021,-546,0,0,-1335,-2202,-180,-1363.3
age12-104729,2069/70,56,6,0,6,0,0,0,70,71,1196360.47,14994.71,15044.71,-50.0,0,20591,-1443,0,0,-375,-1436.16,-180,-2112.13
age12-104729,2070/71,57,6,1,5,0,0,0,77,68,1208631.43,12270.96,12320.96,-50.0,0,18127,-1872,0,0,-375,-1632,0,-1927.04
age12-104729,2071/72,58,6,0,6,0,0,0,42,67,1219190.27,10558.84,10608.84,-50.0,0,16492,-1872,0,-38,-375,-1632,-180,-1786.16
age12-104729,2072/73,59,6,0,6,0,0,0,95,64,1225896.0,6705.73,6655.73,50.0,0,11988,-1872,0,0,-375,-1632,0,-1453.27
age12-104729,2073/74,60,8,0,8,0,0,0,37,62,1236437.48,10541.48,10591.48,-50.0,0,17770,-1872,0,-84,-1335,-2006.16,0,-1881.36
age12-104729,2074/75,61,8,1,7,0,0,0,85,60,1240001.53,3564.05,3514.05,50.0,0,10366,-1872,0,0,-1335,-2133.6,-180,-1331.35
age12-104729,2075/76,62,6,1,5,0,0,0,24,58,1244979.92,4978.39,5028.39,-50.0,0,10008,-1872,0,0,-375,-1436.16,0,-1296.45
age12-104729,2076/77,63,6,0,6,0,0,0,13,56,1258675.77,13695.85,13745.85,-50.0,0,19461,-1872,0,0,-375,-1436.16,0,-2031.99
age12-104729,2077/78,64,6,0,6,0,0,0,25,53,1273233.32,14557.55,14507.55,50.0,0,20500,-1872,0,0,-375,-1632,0,-2113.45
age12-104729,2078/79,65,6,0,6,0,0,0,17,51,1285667.86,12434.54,12384.54,50.0,0,18194,-1872,0,0,-375,-1632,0,-1930.46
age12-130363,2026/27,13,20,2,18,0,0,0,40,50,955.05,-7044.95,-7320.95,276.0,0,2950,-156,0,-12647,-200,-1675.8,0,4407.85
age12-130363,2027/28,14,23,6,17,0,0,0,51,53,1157.05,202.0,112.0,90.0,0,2310,-117,0,-3476,-185,-2185,0,3765.0
age12-130363,2028/29,15,24,6,18,0,0,0,60,56,1338.61,181.56,-333.44,515.0,0,2484,-310,0,-3434,-300,-2565,0,3791.56
age12-130363,2029/30,16,22,1,21,0,0,0,58,59,1220.26,-118.35,-84.35,-34.0,0,2500,-464,0,-3670,-100,-1995,0,3644.65
age12-130363,2030/31,17,23,2,21,0,0,0,56,63,2329.06,1108.8,1158.8,-50.0,0,2600,-1500,0,-1116,-280,-2470,0,3924.8
age12-130363,2031/32,18,25,8,17,0,0,0,57,66,4764.86,2435.8,2485.8,-50.0,3,2600,-1168,0,-84,-330,-2291.4,0,3756.2
age12-130363,2032/33,19,28,12,16,0,0,0,87,70,6621.66,1856.8,1906.8,-50.0,75,8313,-6437,0,-38,-375,-2530.8,0,2899.6
age12-130363,2033/34,20,31,18,13,0,0,0,96,74,10684.1,4062.44,4012.44,50.0,48,8138,-4109,0,0,-375,-2565,0,2875.44
age12-130363,2034/35,21,35,26,9,2,0,1,110,77,16779.5,6095.4,5895.4,200.0,1108,8281,-4560,0,-84,-375,-2257.2,0,3782.6
age12-130363,2035/36,22,29,17,12,0,0,7,133,80,23801.58,7022.08,6972.08,50.0,6320,9124,-1872,0,-122,-1785,-3841.08,0,-851.84
age12-130363,2036/37,23,43,32,11,0,0,17,136,81,45552.96,21751.38,21701.38,50.0,18600,14957,-1872,0,-564,-1785,-4291.8,-360,-2982.82
age12-130363,2037/38,24,32,21,11,0,0,9,140,82,70661.34,25108.38,24808.38,300.0,16470,22926,-1872,0,-38,-1685,-3556.08,0,-7436.54
age12-130363,2038/39,25,38,27,11,1,0,20,138,83,99970.05,29308.71,29358.71,-50.0,12350,27726,-1872,0,-84,-1785,-3806.88,0,-3169.41
age12-130363,2039/40,26,26,19,7,1,0,9,133,85,124799.15,24829.1,24629.1,200.0,10370,27981,-1716,0,-38,-725,-2838,0,-8404.9
age12-130363,2040/41,27,17,13,4,2,0,8,138,86,170308.18,45509.03,45509.03,0.0,13400,34325,-1872,0,-84,-200,-3041.28,0,2981.31
age12-130363,2041/42,28,10,5,5,0,0,2,131,87,229301.46,58993.28,57993.28,1000.0,4700,62325,-1872,0,0,-200,-1821.6,0,-5138.12
age12-130363,2042/43,29,32,21,11,0,0,17,138,87,269414.94,40113.48,40063.48,50.0,4150,56074,-1872,0,0,-1685,-4041,-180,-12382.52
age12-130363,2043/44,30,29,19,10,0,0,11,144,88,321339.28,51924.34,51974.34,-50.0,34850,32244,-1872,0,-122,-1785,-4041,0,-7299.66
age12-130363,2044/45,31,10,6,4,1,0,2,132,89,397511.44,76172.16,75772.16,400.0,44000,38900,-1872,0,0,-200,-3305,0,-1750.84
age12-130363,2045/46,32,18,8,10,0,0,10,144,89,466843.98,69332.54,68332.54,1000.0,21600,61538,-1872,0,-84,0,-5803.6,0,-7045.86
age12-130363,2046/47,33,21,18,3,1,0,10,139,90,530800.98,63957.0,63507.0,450.0,3040,64200,-1872,0,0,-1335,-1686.96,0,1160.96
age12-130363,2047/48,34,20,8,11,0,0,9,136,90,576772.48,45971.5,44571.5,1400.0,17500,40619,-1872,0,-122,0,-5480.64,-360,-5712.86
age12-130363,2048/49,35,29,20,8,1,0,16,137,91,849187.44,272414.96,270414.96,2000.0,208600,72413,-585,0,-84,0,-6480.04,-720,-2729.0
age12-130363,2049/50,36,25,13,12,0,0,10,139,91,1030546.99,181359.55,181359.55,0.0,96400,106125,-1443,0,-38,0,-8836,0,-10848.45
age12-130363,2050/51,37,32,18,11,0,0,21,136,91,1332678.31,302131.32,301131.32,1000.0,145150,183300,-1872,0,-84,0,-7775.68,-180,-17407.0
age12-130363,2051/52,38,22,10,10,0,0,14,139,91,1541827.15,209148.84,208348.84,800.0,69300,162957,-1872,0,-122,0,-6400.24,-540,-14973.92
age12-130363,2052/53,39,17,6,10,0,0,8,144,91,1673427.64,131600.49,130200.49,1400.0,38700,110806,-1872,0,0,0,-5815.04,0,-11618.47
age12-130363,2053/54,40,18,14,4,0,0,7,133,91,1727537.4,54109.76,54059.76,50.0,1250,63822,-1833,0,-84,-1235,-1632,0,-6228.24
age12-130363,2054/55,41,18,12,6,0,0,16,136,91,1748928.42,21391.02,21191.02,200.0,750,27124,-1755,0,-38,-375,-1436.16,0,-3078.82
age12-130363,2055/56,42,17,13,4,1,0,6,133,90,1774346.86,25418.44,24968.44,450.0,3750,24964,-1872,0,0,-375,-1436.16,0,-62.4
age12-130363,2056/57,43,19,15,4,0,0,11,145,89,1795600.9,21254.04,21054.04,200.0,5210,23830,-1872,0,-84,-1235,-1568.28,0,-3226.68
age12-130363,2057/58,44,19,15,4,1,0,11,133,88,1827922.02,32321.12,32121.12,200.0,13050,23494,-1872,0,0,-375,-1632,0,-543.88
age12-130363,2058/59,45,27,14,10,0,0,11,138,87,1879654.47,51732.45,50732.45,1000.0,34100,29686,-1872,0,-122,0,-5480.64,-180,-5398.91
age12-130363,2059/60,46,23,12,9,0,0,15,133,86,1963424.42,83769.95,81769.95,2000.0,44950,51620,-1872,0,-84,0,-5799.84,-540,-6504.21
age12-130363,2060/61,47,17,12,5,0,0,5,136,85,2008350.2,44925.78,44775.78,150.0,1650,52106,-1872,0,-38,-375,-1436.16,-180,-5079.06
age12-130363,2061/62,48,6,1,5,0,0,0,97,83,2028445.54,20095.34,19895.34,200.0,0,26451,-1872,0,0,-375,-1568.28,-180,-2560.38
age12-130363,2062/63,49,12,4,8,0,0,3,133,82,2038261.65,9816.11,9766.11,50.0,0,16627,-1443,0,0,-1335,-2001.48,0,-2081.41
age12-130363,2063/64,50,9,4,5,0,0,2,127,80,2043952.38,5690.73,5390.73,300.0,0,9306,-585,0,-84,-375,-1436.16,0,-1435.11
age12-130363,2064/65,51,8,3,5,0,0,2,126,79,2058002.06,14049.68,13849.68,200.0,0,19776,-1872,0,0,-375,-1632,0,-2047.32
age12-130363,2065/66,52,9,4,5,0,0,1,119,76,2074776.62,16774.56,16624.56,150.0,350,22480,-1872,0,0,-375,-1436.16,-180,-2342.28
age12-130363,2066/67,53,6,0,6,0,0,0,70,75,2090832.56,16055.94,16005.94,50.0,0,22160,-1872,0,0,-375,-1499.88,-180,-2227.18
age12-130363,2067/68,54,9,2,7,0,0,0,72,72,2099821.88,8989.32,9039.32,-50.0,0,16008,-1872,0,0,-1335,-1937.76,0,-1823.92
age12-130363,2068/69,55,8,1,7,0,0,0,51,71,2102873.18,3051.3,3101.3,-50.0,0,9794,-1755,0,0,-1335,-2138.28,-180,-1284.42
age12-130363,2069/70,56,6,0,6,0,0,0,57,68,2107192.78,4319.6,4369.6,-50.0,0,9452,-1833,0,0,-375,-1632,0,-1242.4
age12-130363,2070/71,57,6,1,5,0,0,0,65,66,2120331.34,13138.56,13188.56,-50.0,0,18895,-1872,0,-38,-375,-1436.16,0,-1985.28
age12-130363,2071/72,58,6,1,5,0,0,0,38,64,2136122.49,15791.15,15841.15,-50.0,0,22005,-1872,0,-84,-375,-1436.16,-180,-2216.69
age12-130363,2072/73,59,6,0,6,0,0,0,36,62,2150285.77,14163.28,14213.28,-50.0,0,20171,-1872,0,0,-375,-1632,0,-2078.72
age12-130363,2073/74,60,8,0,8,0,0,0,40,59,2158960.27,8674.5,8724.5,-50.0,0,15593,-1872,0,0,-1335,-1937.76,0,-1723.74
age12-130363,2074/75,61,8,0,8,0,0,0,70,57,2160551.68,1591.41,1541.41,50.0,0,8070,-1872,0,0,-1335,-2006.16,-180,-1135.43
age12-130363,2075/76,62,6,0,6,0,0,0,32,54,2165247.6,4695.92,4745.92,-50.0,0,9906,-1872,0,0,-375,-1632,0,-1281.08
age12-130363,2076/77,63,6,0,6,0,0,0,21,51,2179462.32,14214.72,14264.72,-50.0,0,20016,-1872,0,0,-375,-1436.16,0,-2068.12
age12-130363,2077/78,64,6,0,6,0,0,0,27,49,2195031.56,15569.24,15619.24,-50.0,0,20776,-1014,0,0,-375,-1632,0,-2135.76
age12-130363,2078/79,65,6,0,6,0,0,0,21,46,2206743.36,11711.8,11661.8,50.0,0,16480,-1014,0,0,-375,-1632,0,-1797.2
age15-104729,2026/27,16,31,21,10,2,0,0,84,66,4360.45,-3639.55,-4089.55,450.0,1450,2950,-1500,0,-8527,-290,-2257.2,0,4084.65
age15-104729,2027/28,17,38,30,8,2,0,0,94,69,5968.09,1607.64,1407.64,200.0,898,3135,-2537,0,0,-300,-2565,-180,2956.64
age15-104729,2028/29,18,35,24,11,2,0,0,74,73,7803.38,1835.29,1885.29,-50.0,380,3411,-2576,0,-84,-300,-2565,0,3619.29
age15-104729,2029/30,19,39,22,17,0,0,3,103,76,6345.54,-1457.84,-1757.84,300.0,703,9772,-3643,0,-38,-1895,-4611,-900,-1145.84
age15-104729,2030/31,20,37,30,7,2,0,2,134,79,10759.81,4414.27,4214.27,200.0,618,8944,-5528,0,-84,-375,-2565,0,3204.27
age15-104729,2031/32,21,40,33,7,3,0,13,139,81,16505.71,5745.9,5295.9,450.0,648,8125,-4989,0,0,-325,-2257.2,0,4094.1
age15-104729,2032/33,22,29,23,6,0,0,13,139,83,28690.65,12184.94,12134.94,50.0,7170,9209,-1443,0,-602,-1460,-2487,0,1747.94
age15-104729,2033/34,23,20,10,10,0,0,10,147,85,89599.88,60909.23,59509.23,1400.0,27500,38055,-1872,0,-84,0,-2775.4,0,-1314.37
age15-104729,2034/35,24,23,12,9,0,0,7,134,86,164363.25,74763.37,74763.37,0.0,30000,59750,-1872,0,-38,0,-6228,0,-6848.63
age15-104729,2035/36,25,42,35,7,2,0,31,141,87,247832.19,83468.94,83018.94,450.0,25920,62690,-1872,0,-84,-1685,-3305.28,0,1355.22
age15-104729,2036/37,26,28,17,10,0,0,27,140,88,496470.19,248638.0,247638.0,1000.0,221600,40880,-1872,0,-122,0,-5731.44,-180,-6936.56
age15-104729,2037/38,27,22,10,11,0,0,11,133,88,592014.2,95544.01,94544.01,1000.0,50000,60602,-1872,0,-84,0,-6901.84,-180,-7020.15
age15-104729,2038/39,28,32,20,12,0,0,18,143,89,854278.03,262263.83,261863.83,400.0,183250,99106,-1872,0,-122,0,-8026.48,0,-10471.69
age15-104729,2039/40,29,22,9,11,0,0,17,141,90,1046128.55,191850.52,190450.52,1400.0,68100,144976,-1872,0,-84,0,-6901.84,0,-13767.64
age15-104729,2040/41,30,28,16,11,0,0,18,142,91,1275535.58,229407.03,228407.03,1000.0,128500,122505,-1794,0,-122,0,-7608.48,0,-13073.49
age15-104729,2041/42,31,45,27,17,1,0,22,144,91,1530255.22,254719.64,253319.64,1400.0,159000,108537,-1794,0,-122,0,-7245.04,-180,-4876.32
age15-104729,2042/43,32,34,22,12,1,0,17,137,92,1823733.5,293478.28,293078.28,400.0,172800,130788,-1872,0,0,0,-7399.92,0,-1237.8
age15-104729,2043/44,33,27,14,12,0,0,17,139,92,2040597.45,216863.95,216463.95,400.0,106950,132913,-1872,0,-122,0,-8022.68,-180,-13202.37
age15-104729,2044/45,34,24,12,11,0,0,20,138,92,2261309.81,220712.36,219712.36,1000.0,64100,182000,-1872,0,-84,0,-7441.28,0,-16990.36
age15-104729,2045/46,35,30,16,12,0,0,18,137,93,2462405.67,201095.86,199695.86,1400.0,71850,150429,-1443,0,-122,0,-5982.24,0,-15035.9
age15-104729,2046/47,36,23,12,10,0,0,9,131,93,2591159.18,128753.51,126753.51,2000.0,51850,91682,-585,0,-84,0,-5731.44,0,-10378.05
age15-104729,2047/48,37,36,25,9,1,0,28,145,93,2950969.8,359810.62,358810.62,1000.0,290500,82201,-1872,0,-122,0,-9054.8,-180,-2661.58
age15-104729,2048/49,38,22,11,9,0,0,10,141,93,3178160.36,227190.56,225190.56,2000.0,101250,147106,-1872,0,-38,0,-7775.68,0,-13479.76
age15-104729,2049/50,39,24,11,11,0,0,13,141,93,3470192.36,292032.0,291032.0,1000.0,158300,156678,-1872,0,-84,0,-7441.28,-180,-14368.72
age15-104729,2050/51,40,9,4,5,0,0,4,140,93,3575601.16,105408.8,105208.8,200.0,0,119926,-1872,0,-84,-1235,-1632,0,-9894.2
age15-104729,2051/52,41,21,16,5,1,0,9,135,92,3640856.96,65255.8,64805.8,450.0,8750,64854,-1872,0,-38,-1335,-2202,0,-3351.2
age15-104729,2052/53,42,12,8,4,0,0,3,134,92,3659040.6,18183.64,17983.64,200.0,562.5,23850,-1872,0,0,-375,-1632,0,-2549.86
age15-104729,2053/54,43,16,12,4,0,0,8,121,91,3667879.67,8839.07,8639.07,200.0,400,14175,-1872,0,0,-375,-1632,0,-2056.93
age15-104729,2054/55,44,15,12,3,1,0,5,136,90,3688808.83,20929.16,20629.16,300.0,3250,21126,-1872,0,-84,-375,-1632,0,216.16
age15-104729,2055/56,45,15,11,4,0,0,7,135,90,3706815.46,18006.63,18056.63,-50.0,600,24259,-1755,0,0,-375,-1499.88,-360,-2812.49
age15-104729,2056/57,46,17,13,4,0,0,9,141,88,3722342.96,15527.5,15577.5,-50.0,350,22887,-1833,0,0,-1235,-1436.16,-180,-2975.34
age15-104729,2057/58,47,13,6,7,0,0,5,137,87,3737151.21,14808.25,14608.25,200.0,0,22590,-1872,0,-122,-1335,-1937.76,-180,-2534.99
age15-104729,2058/59,48,15,10,5,0,0,4,121,86,3753978.76,16827.55,16777.55,50.0,1400,21791,-1872,0,0,-375,-1568.28,0,-2598.17
age15-104729,2059/60,49,18,14,4,1,0,9,135,85,3780454.14,26475.38,26025.38,450.0,11000,19332,-1872,0,0,-375,-1436.16,0,-623.46
age15-104729,2060/61,50,17,6,10,0,0,1,136,84,3819584.84,39130.7,38730.7,400.0,8962.5,36922,-1014,0,-84,0,-2824.8,-180,-3051.0
age15-104729,2061/62,51,11,2,9,0,0,2,139,82,3874231.14,54646.3,54646.3,0.0,2062.5,61836,-1014,0,0,0,-3210,-180,-4848.2
age15-104729,2062/63,52,15,9,6,0,0,1,107,80,3911015.52,36784.38,36834.38,-50.0,150,46640,-1872,0,-38,-1335,-2202,0,-4508.62
age15-104729,2063/64,53,13,8,5,0,0,1,102,79,3928485.53,17470.01,17270.01,200.0,1440,22237,-1872,0,0,-375,-1436.16,-180,-2543.83
age15-104729,2064/65,54,9,4,5,0,0,0,78,76,3939727.04,11241.51,11041.51,200.0,0,16877,-1872,0,0,-375,-1632,0,-1956.49
age15-104729,2065/66,55,7,2,5,0,0,0,75,74,3953714.21,13987.17,14037.17,-50.0,0,20082,-1872,0,-84,-375,-1632,0,-2081.83
age15-104729,2066/67,56,6,0,6,0,0,0,63,72,3970958.29,17244.08,17294.08,-50.0,0,23519,-1872,0,0,-375,-1632,0,-2345.92
age15-104729,2067/68,57,8,1,7,0,0,0,79,70,3986729.95,15771.66,15821.66,-50.0,0,23582,-1872,0,0,-1335,-2202,0,-2351.34
age15-104729,2068/69,58,9,1,8,0,0,1,110,68,3989114.79,2384.84,2434.84,-50.0,0,9128,-1872,0,0,-1335,-2202,0,-1284.16
age15-104729,2069/70,59,6,0,6,0,0,0,47,66,3993487.16,4372.37,4422.37,-50.0,0,9433,-1872,0,0,-375,-1499.88,0,-1263.75
age15-104729,2070/71,60,6,0,6,0,0,0,46,64,4003560.34,10073.18,10123.18,-50.0,0,15524,-1716,0,0,-375,-1568.28,0,-1741.54
age15-104729,2071/72,61,6,0,6,0,0,0,76,62,4017094.26,13533.92,13583.92,-50.0,0,19288,-1872,0,0,-375,-1436.16,0,-2020.92
age15-104729,2072/73,62,6,0,6,0,0,0,21,60,4028194.22,11099.96,11149.96,-50.0,0,16848,-1872,0,0,-375,-1632,0,-1819.04
age15-104729,2073/74,63,8,0,8,0,0,0,34,57,4035221.26,7027.04,7077.04,-50.0,0,13852,-1872,0,-38,-1335,-1937.76,0,-1592.2
age15-104729,2074/75,64,8,1,7,0,0,0,23,55,4037010.08,1788.82,1838.82,-50.0,0,8656,-1872,0,-84,-1335,-2138.28,-180,-1207.9
age15-104729,2075/76,65,6,0,6,0,0,0,23,53,4042738.7,5728.62,5778.62,-50.0,0,9513,-585,0,0,-375,-1499.88,0,-1274.5
age15-130363,2026/27,16,30,20,10,1,0,0,59,66,4631.85,-3368.15,-3822.15,454.0,2060,2950,-1500,0,-8515,-295,-2565,0,4042.85
age15-130363,2027/28,17,37,24,13,2,0,1,115,69,6083.65,1451.8,1001.8,450.0,543,2550,-2537,0,0,-300,-2565,0,3310.8
age15-130363,2028/29,18,34,25,9,1,0,0,93,73,7819.68,1736.03,1686.03,50.0,277,3177,-1608,0,-84,-300,-2565,0,2789.03
age15-130363,2029/30,19,36,28,8,3,0,1,107,76,11368.98,3549.3,3499.3,50.0,1298,8835,-7840,0,-38,-375,-2565,0,4184.3
age15-130363,2030/31,20,41,31,10,2,0,4,110,80,10752.29,-616.69,-666.69,50.0,440,9385,-4219,0,-84,-1745,-3939,-180,-324.69
age15-130363,2031/32,21,9,1,6,0,0,2,130,82,53182.24,42429.95,40429.95,2000.0,4400,40051,-1872,0,-480,-200,-2260,0,790.95
age15-130363,2032/33,22,6,2,4,0,0,0,70,83,109913.36,56731.12,55331.12,1400.0,2150,63751,-1872,0,0,-200,-3115,0,-5382.88
age15-130363,2033/34,23,43,39,4,4,0,17,142,85,276739.25,166825.89,166375.89,450.0,96320,61943,-1872,0,-122,-725,-3225,-180,14236.89
age15-130363,2034/35,24,13,7,5,1,0,4,118,86,381842.22,105102.97,103102.97,2000.0,79550,26901,-1872,0,0,-100,-1870.88,0,494.85
age15-130363,2035/36,25,17,11,6,1,0,8,135,87,532602.71,150760.49,148760.49,2000.0,100350,53974,-1872,0,0,0,-2890.8,-180,-620.71
age15-130363,2036/37,26,30,22,8,1,0,14,141,88,651307.86,118705.15,118505.15,200.0,77070,53526,-1872,0,-122,-1685,-3369.0,0,-5042.85
age15-130363,2037/38,27,10,3,5,0,0,0,96,89,699166.84,47858.98,46458.98,1400.0,19600,36953,-1872,0,0,-200,-3305,0,-4717.02
age15-130363,2038/39,28,27,18,9,0,0,16,141,90,809029.6,109862.76,108862.76,1000.0,62200,62064,-1872,0,-84,0,-5658,-180,-7607.24
age15-130363,2039/40,29,41,32,9,1,0,17,137,90,861238.57,52208.97,52158.97,50.0,21690,42680,-1872,0,-122,-1685,-3841.44,0,-4690.59
age15-130363,2040/41,30,39,31,8,2,0,23,136,91,896644.46,35405.89,35105.89,300.0,17950,28351,-1755,0,-84,-1685,-3305.28,-540,-3825.83
age15-130363,2041/42,31,11,5,5,0,0,5,128,91,923222.6,26578.14,26578.14,0.0,6550,28950,-1833,0,0,-200,-2908.4,0,-3980.46
age15-130363,2042/43,32,6,4,2,1,0,3,123,92,1023869.39,100646.79,98646.79,2000.0,42000,61255,-1872,0,-38,-100,-1403.6,0,-1194.61
age15-130363,2043/44,33,13,8,5,0,0,5,136,92,1072349.32,48479.93,48179.93,300.0,350,55941,-156,0,0,-1235,-1499.88,0,-5220.19
