file,dimensions,bytes,sha256,role,runtime
public/assetts/achievements/achievement-template-locked-256x256.png,256x256,11973,fcb5b54e7a713c50611a8c612e65d7614c0e7942c9ecb7a7305f344cb9963858,Retained source / publishing / alternative artwork,False
public/assetts/achievements/achievement-template-locked-64x64.png,64x64,5223,bd5885e65a1edb16f398a81eaabec8e34ddec9c2c65223eaaf7837d6b1b49866,Retained source / publishing / alternative artwork,False
public/assetts/achievements/achievement-template-unlocked-256x256.png,256x256,19627,fea2fbc2fd6e670c0ba89a5be6ff115b7338263d0d786e0212303781848d34f6,Retained source / publishing / alternative artwork,False
public/assetts/achievements/achievement-template-unlocked-64x64.png,64x64,7469,34ee44fefbcbc999bc9fd8b58e4485a127224a18a63beda9461a4fd20681e3a6,Retained source / publishing / alternative artwork,False
public/assetts/asset-manifest.csv,,2830,f5c0a19c81c95bddf2fc32f919fc2548b56f5458de8409f7ea4356cbe973dd7c,Retained source / publishing / alternative artwork,False
public/assetts/asset-pack-preview.jpg,1260x900,223512,1ff9cde29b35d6866308ce27b96c9125b28df17191a107d7e231e1d6b3f39ae7,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-icon-symbol-1024.png,1024x1024,186565,ab528261bbf409253a9316ab3b2c65dea20aac60f1fe80f2d18c40e2a37b3b20,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-logo-horizontal-3000w.png,3000x1144,1245012,705dacb63c53d5cda16e92c07e902b7cf5eb5e2a98939978a5f9f265909c9948,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-logo-horizontal.svg,,10457,c715331fc1747e0148d30b6ee5da3b662a625ec95a942b4b49657b35142de5dd,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-logo-stacked.png,1900x1197,902721,149401a23e9cafc553db669f71892fcf74cd3df5b79f7778024bc523174d483c,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-logo-stacked.svg,,9987,dcf281334a00a11430f0b48a1e222e0505599ec1b02a869f53fb9b08cbd2c269,Retained source / publishing / alternative artwork,False
public/assetts/brand/snooker-career-manager-logo-white-3000w.png,3000x1144,258880,e5fb73f573b301a7922ed0f32366c58ba1d4d18fa3e19d1c4e2eb33a06152ba9,Retained source / publishing / alternative artwork,False
