case,season,age,matches,wins,losses,titles,majorTitles,centuries,highestBreak,overall,cash,cashDelta,recordedCategoryTotal,unclassifiedCashChange,prizeMoney,sponsorIncome,coachingStaffCosts,facilityCosts,equipmentMaintenance,tournamentEntryFees,travelHotelCosts,treatmentRecoveryCosts,teamAndStoryEvents,other
age12-104729,2026/27,13,26,4,22,0,0,0,35,50,1241.5,-6758.5,-6758.5,-0.0,0,2900,-156,0,-11165,-429,-2530.8,0,450.0,4172.3
age12-104729,2027/28,14,20,0,20,0,0,0,41,53,1207.3,-34.2,-34.2,-0.0,0,2550,-464,0,-4036,-155,-1615,0,-50,3735.8
age12-104729,2028/29,15,23,3,20,0,0,0,30,56,1208.1,0.8,0.8,-0.0,3,2550,-156,0,-3816,-140,-2280,0,-50,3889.8
age12-104729,2029/30,16,26,3,23,0,0,0,50,59,2126.9,918.8,918.8,-0.0,60,2550,-1500,0,-1092,-189,-2565,0,50,3604.8
age12-104729,2030/31,17,25,6,19,0,0,0,49,62,4661.12,2534.22,2534.22,0.0,8,2956,-970,0,-84,-300,-2565,-180,-50,3719.22
age12-104729,2031/32,18,23,6,17,0,0,0,91,66,6835.76,2174.64,2174.64,0.0,0,2912,-1762,0,-38,-330,-2530.8,0,50,3873.44
age12-104729,2032/33,19,29,18,11,1,0,0,93,70,9573.86,2738.1,2738.1,0.0,65,7987,-6912,0,0,-375,-2291.4,0,450,3814.5
age12-104729,2033/34,20,27,14,13,0,0,0,97,73,8940.84,-633.02,-633.02,0.0,40,7644,-9180,0,-84,-375,-2257.2,0,200,3379.18
age12-104729,2034/35,21,31,22,9,2,0,2,112,77,11182.86,2242.02,2242.02,0.0,160,8469,-7134,0,0,-375,-2565,0,-50,3737.02
age12-104729,2035/36,22,18,7,11,0,0,1,124,80,17438.51,6255.65,6255.65,0.0,4500,8282,-2666,0,-122,-1685,-4009,-180,200,1935.65
age12-104729,2036/37,23,29,19,10,0,0,9,138,81,5653.12,-11785.39,-11785.39,0.0,1220,7426,-13780,0,0,-1785,-4041,-180,200,-845.39
age12-104729,2037/38,24,15,3,12,0,0,2,114,82,33835.39,28182.27,28182.27,0.0,5250,30194,-3544,0,-480,0,-5480.64,0,1400,842.91
age12-104729,2038/39,25,23,12,11,0,0,17,140,83,113494.22,79658.83,79658.83,0.0,32500,60362,-1872,0,-122,0,-6444.6,0,400,-5164.57
age12-104729,2039/40,26,47,39,8,2,0,26,144,85,251599.4,138105.18,138105.18,0.0,83670,59651,-1872,0,0,-1685,-3556.08,-360,450,1807.26
age12-104729,2040/41,27,38,29,9,0,0,22,142,86,301297.65,49698.25,49698.25,0.0,37120,27781,-1872,0,-122,-1785,-4041,-180,300,-7502.75
age12-104729,2041/42,28,27,14,11,0,0,18,141,86,367366.34,66068.69,66068.69,0.0,39650,39387,-1872,0,-84,0,-6193.8,-180,2000,-6638.51
age12-104729,2042/43,29,22,10,10,0,0,9,139,87,440549.83,73183.49,73183.49,0.0,24600,60688,-1872,0,-122,0,-5647.84,-180,2000,-6282.67
age12-104729,2043/44,30,34,26,8,2,0,20,147,88,513594.81,73044.98,73044.98,0.0,13320,64756,-1872,0,0,-1685,-3556.08,-180,450,1812.06
age12-104729,2044/45,31,33,26,7,2,0,17,144,89,616135.51,102540.7,102540.7,0.0,86970,27588,-1872,0,-122,-725,-3225,-180,-50,-5843.3
age12-104729,2045/46,32,24,12,10,0,0,9,131,89,665131.5,48995.99,48995.99,0.0,26500,33738,-1872,0,-84,0,-6379,-180,2000,-4727.01
age12-104729,2046/47,33,32,18,11,0,0,20,142,90,742268.7,77137.2,77137.2,0.0,40500,53631,-1872,0,-38,0,-6193.8,0,0,-8890.0
age12-104729,2047/48,34,16,13,3,0,0,6,136,90,779690.79,37422.09,37422.09,0.0,0,46870,-1872,0,-84,-1235,-1568.28,0,300,-4988.63
age12-104729,2048/49,35,24,13,9,0,0,14,130,91,852952.67,73261.88,73261.88,0.0,36500,50207,-1872,0,0,0,-6323,0,1000,-6250.12
age12-104729,2049/50,36,20,9,9,0,0,10,138,91,927427.36,74474.69,74474.69,0.0,19600,66980,-156,0,-122,0,-6228,-180,1400,-6819.31
age12-104729,2050/51,37,19,14,5,0,0,9,141,91,983602.48,56175.12,56175.12,0.0,750,66200,-1872,0,0,-1235,-1632,0,450,-6485.88
age12-104729,2051/52,38,21,10,11,0,0,13,144,91,1051737.11,68134.63,68134.63,0.0,25250,55375,-1755,0,-84,0,-6193.8,-180,2000,-6277.57
age12-104729,2052/53,39,21,9,10,0,0,17,135,91,1130292.53,78555.42,78555.42,0.0,29500,65243,-1833,0,-122,0,-6673.8,0,0,-7558.78
age12-104729,2053/54,40,15,11,4,0,0,4,142,91,1171306.63,41014.1,41014.1,0.0,0,50572,-1872,0,0,-1235,-1632,0,200,-5018.9
age12-104729,2054/55,41,18,14,4,1,0,6,135,91,1199726.34,28419.71,28419.71,0.0,4500,27375,-1872,0,0,-375,-1632,0,450,-26.29
age12-104729,2055/56,42,18,13,5,0,0,12,139,90,1219582.91,19856.57,19856.57,0.0,2500,24370,-1872,0,-122,-375,-1632,-360,200,-2852.43
age12-104729,2056/57,43,9,5,4,0,0,4,132,89,1236963.05,17380.14,17380.14,0.0,0,24616,-1872,0,0,-1235,-1632,-180,200,-2516.86
age12-104729,2057/58,44,18,13,5,0,0,6,136,88,1254461.66,17498.61,17498.61,0.0,1450,23734,-1872,0,0,-1335,-1750.68,0,300,-3027.71
age12-104729,2058/59,45,39,25,13,0,0,19,143,88,1332600.02,78138.36,78138.36,0.0,59900,33479,-1872,0,-122,0,-5731.44,-180,400,-7735.2
age12-104729,2059/60,46,28,15,11,0,0,11,144,87,1434631.54,102031.52,102031.52,0.0,52500,62677,-1872,0,-84,0,-6149.44,-360,2000,-6680.04
age12-104729,2060/61,47,21,8,11,0,0,11,138,85,1518416.64,83785.1,83785.1,0.0,30700,66793,-1872,0,0,0,-5989.84,0,1000,-6846.06
age12-104729,2061/62,48,13,8,5,0,0,2,111,84,1571442.98,53026.34,53026.34,0.0,212.5,62157,-1872,0,-122,-375,-1632,0,300,-5642.16
age12-104729,2062/63,49,16,10,6,0,0,5,129,83,1582534.94,11091.96,11091.96,0.0,0,19158,-1872,0,0,-1335,-2202,0,-50,-2607.04
age12-104729,2063/64,50,7,2,5,0,0,0,94,81,1599356.1,16821.16,16821.16,0.0,0,22339,-1443,0,0,-375,-1632,0,200,-2267.84
age12-104729,2064/65,51,11,6,5,0,0,3,133,80,1609909.45,10553.35,10553.35,0.0,150,14768,-585,0,0,-375,-1632,-180,300,-1892.65
age12-104729,2065/66,52,10,5,5,0,0,2,112,78,1614190.73,4281.28,4281.28,0.0,125,9352,-1872,0,-84,-375,-1632,-180,300,-1352.72
age12-104729,2066/67,53,6,2,4,0,0,0,73,76,1628592.7,14401.97,14401.97,0.0,0,20168,-1716,0,0,-375,-1632,0,50,-2093.03
age12-104729,2067/68,54,9,2,7,0,0,0,63,74,1642179.7,13587.0,13587.0,0.0,0,21108,-1872,0,0,-1335,-2202,0,50,-2162.0
age12-104729,2068/69,55,8,1,7,0,0,1,127,73,1653082.75,10903.05,10903.05,0.0,0,18142,-1872,0,-38,-1335,-2202,0,150,-1941.95
age12-104729,2069/70,56,6,1,5,0,0,0,60,71,1671315.12,18232.37,18232.37,0.0,0,24477,-1872,0,0,-375,-1632,0,50,-2415.63
age12-104729,2070/71,57,6,0,6,0,0,0,50,68,1683776.5,12461.38,12461.38,0.0,0,18344,-1872,0,0,-375,-1632,0,-50,-1953.62
age12-104729,2071/72,58,6,0,6,0,0,0,38,67,1697176.58,13400.08,13400.08,0.0,0,19338,-1872,0,0,-375,-1436.16,-180,-50,-2024.76
age12-104729,2072/73,59,6,1,5,0,0,0,62,64,1708709.23,11532.65,11532.65,0.0,0,17316,-1872,0,0,-375,-1632,0,-50,-1854.35
age12-104729,2073/74,60,8,0,8,0,0,0,50,62,1719600.71,10891.48,10891.48,0.0,0,17770,-1872,0,-84,-1335,-2006.16,0,300,-1881.36
age12-104729,2074/75,61,8,1,7,0,0,0,33,60,1723244.76,3644.05,3644.05,0.0,0,10366,-1872,0,0,-1335,-2133.6,0,-50,-1331.35
age12-104729,2075/76,62,6,1,5,0,0,0,33,58,1728223.15,4978.39,4978.39,0.0,0,10008,-1872,0,0,-375,-1436.16,0,-50,-1296.45
age12-104729,2076/77,63,7,1,6,0,0,0,25,56,1741519.82,13296.67,13296.67,0.0,0,19219,-1872,0,0,-375,-1436.16,-180,-50,-2009.17
age12-104729,2077/78,64,6,0,6,0,0,0,28,54,1757771.68,16251.86,16251.86,0.0,0,22425,-1872,0,0,-375,-1632,0,-50,-2244.14
age12-104729,2078/79,65,6,0,6,0,0,0,22,51,1771834.86,14063.18,14063.18,0.0,0,18308,-585,0,0,-375,-1499.88,0,150,-1934.94
age12-130363,2026/27,13,20,2,18,0,0,0,40,50,955.05,-7044.95,-7044.95,-0.0,0,2950,-156,0,-12647,-124,-1675.8,0,200,4407.85
age12-130363,2027/28,14,20,5,15,0,0,0,51,53,1158.05,203.0,203.0,-0.0,0,2310,-117,0,-4010,-80,-1710,0,-50,3860.0
age12-130363,2028/29,15,26,7,19,0,0,0,57,56,1208.61,50.56,50.56,-0.0,12,2484,-156,0,-3280,-96,-2565,0,50,3601.56
age12-130363,2029/30,16,27,6,21,0,0,0,53,59,3019.41,1810.8,1810.8,-0.0,200,2550,-1500,0,0,-254,-2565,-180,50,3509.8
age12-130363,2030/31,17,24,6,18,0,0,0,59,62,4966.63,1947.22,1947.22,0.0,0,2956,-1564,0,-84,-300,-2565,-360,50,3814.22
age12-130363,2031/32,18,25,4,21,0,0,0,67,66,6936.47,1969.84,1969.84,0.0,3,2912,-1795,0,-38,-330,-2565,0,50,3732.84
age12-130363,2032/33,19,33,17,16,0,0,0,92,70,8918.24,1981.77,1981.77,0.0,110,8319,-6171,0,0,-375,-2565,0,300,2363.77
age12-130363,2033/34,20,24,11,13,0,0,1,101,73,12981.45,4063.21,4063.21,0.0,3,8138,-5050,0,-84,-375,-2565,0,450,3546.21
age12-130363,2034/35,21,32,20,12,0,0,4,126,77,20265.65,7284.2,7284.2,0.0,38,8281,-1872,0,0,-375,-2257.2,0,450,3019.4
age12-130363,2035/36,22,18,7,11,0,0,3,108,80,23360.84,3095.19,3095.19,0.0,0,8125,-1872,0,-122,-1685,-3562.12,0,200,2011.31
age12-130363,2036/37,23,25,17,8,1,0,9,132,81,41986.6,18625.76,18625.76,0.0,10600,14257,-1872,0,-480,-825,-3756,-180,300,581.76
age12-130363,2037/38,24,19,7,10,0,0,13,142,82,86915.51,44928.91,44928.91,0.0,17850,34713,-1872,0,0,0,-5514.84,0,2000,-2247.25
age12-130363,2038/39,25,20,10,9,0,0,10,143,84,157996.18,71080.67,71080.67,0.0,23600,61963,-1872,0,-122,0,-6228,0,400,-6660.33
age12-130363,2039/40,26,33,27,6,2,0,12,139,85,290290.95,132294.77,132294.77,0.0,87450,51725,-1014,0,-84,-725,-3225,-180,450,-2102.23
age12-130363,2040/41,27,29,16,12,0,0,9,134,86,351548.6,61257.65,61257.65,0.0,37950,35187,-936,0,-38,0,-5613.52,0,1000,-6291.83
age12-130363,2041/42,28,32,19,11,0,0,24,139,86,438192.1,86643.5,86643.5,0.0,38000,65018,-1794,0,-84,0,-5480.64,-180,800,-9635.86
age12-130363,2042/43,29,39,30,9,1,0,16,142,87,562644.55,124452.45,124452.45,0.0,78510,59026,-1872,0,-122,-1685,-4041,0,300,-5663.55
age12-130363,2043/44,30,26,16,8,0,0,24,140,88,651947.97,89303.42,89303.42,0.0,55100,48305,-1872,0,-84,0,-6513,-180,1000,-6452.58
age12-130363,2044/45,31,18,5,12,0,0,5,132,89,719634.24,67686.27,67686.27,0.0,16750,65558,-1872,0,0,0,-6383.8,0,400,-6765.93
age12-130363,2045/46,32,17,13,4,0,0,20,139,89,764518.71,44884.47,44884.47,0.0,750,54119,-1872,0,-122,-1235,-1436.16,-180,200,-5339.37
age12-130363,2046/47,33,28,14,11,0,0,22,147,90,836437.81,71919.1,71919.1,0.0,41250,45294,-1872,0,-84,0,-6228,0,1000,-7440.9
age12-130363,2047/48,34,24,12,9,0,0,10,140,90,913894.59,77456.78,77456.78,0.0,27100,65427,-1872,0,-38,0,-6383.8,-360,1400,-7816.42
age12-130363,2048/49,35,15,12,3,0,0,6,139,91,955908.43,42013.84,42013.84,0.0,0,51350,-1872,0,0,-1235,-1568.28,0,450,-5110.88
age12-130363,2049/50,36,37,26,8,0,0,25,141,91,1050148.88,94240.45,94240.45,0.0,67100,42056,-1872,0,-84,0,-6193.8,0,1000,-7765.75
age12-130363,2050/51,37,34,23,11,0,0,17,140,91,1168677.4,118528.52,118528.52,0.0,71000,62932,-1872,0,-122,0,-6491.44,0,1000,-7918.04
age12-130363,2051/52,38,27,16,10,0,0,20,142,91,1280649.88,111972.48,111972.48,0.0,66850,60395,-1872,0,-122,0,-6957.6,-180,1400,-7540.92
age12-130363,2052/53,39,24,12,10,0,0,8,132,91,1376071.61,95421.73,95421.73,0.0,49500,59961,-1872,0,-84,0,-5982.24,0,2000,-8101.03
age12-130363,2053/54,40,21,10,9,0,0,11,135,91,1467694.53,91622.92,91622.92,0.0,34400,71713,-1872,0,-38,0,-5580.96,-180,1000,-7819.12
age12-130363,2054/55,41,11,7,4,0,0,6,145,91,1526757.57,59063.04,59063.04,0.0,125,67268,-585,0,-84,-375,-1632,0,200,-5853.96
age12-130363,2055/56,42,12,7,5,0,0,6,138,90,1550669.53,23911.96,23911.96,0.0,1250,28912,-1326,0,0,-375,-1436.16,-360,200,-2952.88
age12-130363,2056/57,43,18,15,3,2,0,10,145,89,1588888.87,38219.34,38219.34,0.0,16500,23725,-1833,0,0,-375,-1568.28,0,300,1470.62
age12-130363,2057/58,44,24,13,10,0,0,12,141,88,1652897.14,64008.27,64008.27,0.0,31900,44312,-1872,0,-122,0,-6228,-180,2000,-5801.73
age12-130363,2058/59,45,25,14,9,0,0,9,142,87,1745834.79,92937.65,92937.65,0.0,43350,64259,-1872,0,-84,0,-6159.6,-180,2000,-8375.75
age12-130363,2059/60,46,19,16,3,1,0,9,141,86,1817022.99,71188.2,71188.2,0.0,11000,61998,-1872,0,0,-375,-1436.16,-180,450,1603.36
age12-130363,2060/61,47,26,15,11,0,0,16,141,85,1877769.63,60746.64,60746.64,0.0,35850,38212,-1872,0,-122,0,-6288.8,-180,400,-5252.56
age12-130363,2061/62,48,20,7,12,0,0,5,144,83,1940750.8,62981.17,62981.17,0.0,20250,55866,-1872,0,0,0,-5480.64,0,0,-5782.19
age12-130363,2062/63,49,17,12,5,0,0,5,135,82,1985638.9,44888.1,44888.1,0.0,1440,53768,-1872,0,-84,-1335,-1917,0,300,-5411.9
age12-130363,2063/64,50,16,3,13,0,0,2,124,80,2024934.94,39296.04,39296.04,0.0,10250,42293,-1872,0,-38,0,-6228,0,400,-5508.96
age12-130363,2064/65,51,15,2,13,0,0,3,121,79,2081422.41,56487.47,56487.47,0.0,9750,59569,-1872,0,-84,0,-6228,0,1400,-6047.53
age12-130363,2065/66,52,6,0,6,0,0,0,99,76,2132070.21,50647.8,50647.8,0.0,0,59693,-1872,0,0,-375,-1632,0,-50,-5116.2
age12-130363,2066/67,53,9,4,5,0,0,2,127,75,2151288.35,19218.14,19218.14,0.0,0,25778,-1872,0,0,-375,-1632,0,-50,-2630.86
age12-130363,2067/68,54,6,0,6,0,0,0,46,72,2165806.95,14518.6,14518.6,0.0,0,21274,-1872,0,0,-1235,-1632,0,150,-2166.4
age12-130363,2068/69,55,8,1,7,0,0,0,49,71,2180325.21,14518.26,14518.26,0.0,0,22330,-1443,0,0,-1335,-2202,-540,-50,-2241.74
age12-130363,2069/70,56,6,0,6,0,0,0,62,68,2186886.49,6561.28,6561.28,0.0,0,10275,-585,0,0,-375,-1499.88,0,50,-1303.84
age12-130363,2070/71,57,6,0,6,0,0,0,34,66,2191132.42,4245.93,4245.93,0.0,0,9051,-1716,0,0,-375,-1436.16,0,-50,-1227.91
age12-130363,2071/72,58,6,1,5,0,0,0,39,64,2201505.21,10372.79,10372.79,0.0,0,15837,-1872,0,0,-375,-1436.16,0,-50,-1731.05
age12-130363,2072/73,59,6,0,6,0,0,0,33,62,2215846.01,14340.8,14340.8,0.0,0,20345,-1872,0,-84,-375,-1632,0,50,-2091.2
age12-130363,2073/74,60,8,0,8,0,0,0,28,59,2224212.18,8366.17,8366.17,0.0,0,15374,-1872,0,-38,-1335,-2006.16,0,-50,-1706.67
age12-130363,2074/75,61,8,0,8,0,0,0,30,57,2225969.05,1756.87,1756.87,0.0,0,8161,-1872,0,0,-1335,-2001.48,0,-50,-1145.65
age12-130363,2075/76,62,6,0,6,0,0,0,35,54,2231180.07,5211.02,5211.02,0.0,0,10153,-1872,0,0,-375,-1436.16,0,50,-1308.82
age12-130363,2076/77,63,6,0,6,0,0,0,29,51,2245631.35,14451.28,14451.28,0.0,0,20266,-1872,0,0,-375,-1436.16,0,-50,-2081.56
age12-130363,2077/78,64,6,0,6,0,0,0,19,49,2260342.59,14711.24,14711.24,0.0,0,20776,-1872,0,0,-375,-1632,0,-50,-2135.76
age12-130363,2078/79,65,6,0,6,0,0,0,22,46,2271159.87,10817.28,10817.28,0.0,0,16544,-1872,0,0,-375,-1632,0,-50,-1797.72
age15-104729,2026/27,16,31,21,10,2,0,0,84,66,4360.45,-3639.55,-3639.55,0.0,1450,2950,-1500,0,-8527,-290,-2257.2,0,450,4084.65
age15-104729,2027/28,17,37,30,7,3,0,0,80,70,5990.09,1629.64,1629.64,0.0,440,3135,-2537,0,0,-300,-2565,0,200,3256.64
age15-104729,2028/29,18,42,35,7,3,0,0,95,73,7975.38,1985.29,1985.29,0.0,750,3411,-2576,0,-84,-300,-2565,0,300,3049.29
age15-104729,2029/30,19,54,37,17,0,0,5,144,76,8019.54,44.16,44.16,0.0,5303,9772,-6287,0,-122,-1895,-4611,-360,200,-1955.84
age15-104729,2030/31,20,38,22,16,0,0,3,132,79,3284.74,-4734.8,-4734.8,0.0,350,9716,-8012,0,0,-1745,-3943.08,-180,50,-970.72
age15-104729,2031/32,21,16,4,12,0,0,2,109,81,29571.99,26287.25,26287.25,0.0,12250,22184,-4536,0,-602,0,-5480.64,0,1000,1471.89
age15-104729,2032/33,22,20,9,10,0,0,3,136,83,101893.31,72321.32,72321.32,0.0,22750,60988,-1872,0,0,0,-5480.64,0,400,-4464.04
age15-104729,2033/34,23,32,25,7,1,0,14,135,84,185098.92,83205.61,83205.61,0.0,46000,51612,-1872,0,-122,-725,-2838.0,-180,200,-8869.39
age15-104729,2034/35,24,20,8,12,0,0,9,132,86,240455.87,55356.95,55356.95,0.0,13850,55137,-1872,0,0,0,-6276.4,-180,400,-5701.65
age15-104729,2035/36,25,24,13,11,0,0,13,138,87,330034.78,89578.91,89578.91,0.0,38100,67350,-1872,0,-84,0,-5549.04,-180,0,-8186.05
age15-104729,2036/37,26,36,32,4,4,0,17,143,88,488251.18,158216.4,158216.4,0.0,93250,56893,-1872,0,-122,-725,-3225,-180,200,13997.4
age15-104729,2037/38,27,25,15,8,0,0,17,141,88,557819.26,69568.08,69568.08,0.0,52400,30100,-1872,0,-84,0,-6474,-180,400,-4721.92
age15-104729,2038/39,28,24,13,10,0,0,14,139,89,647151.03,89331.77,89331.77,0.0,44500,59273,-1872,0,-38,0,-6494,0,1000,-7037.23
age15-104729,2039/40,29,40,31,9,1,0,19,144,90,695730.08,48579.05,48579.05,0.0,7500,52773,-1833,0,-84,-1685,-3590.28,0,-50,-4451.67
age15-104729,2040/41,30,28,16,11,0,0,20,147,90,755608.88,59878.8,59878.8,0.0,33100,40212,-1755,0,-122,0,-6159.6,0,1000,-6396.6
age15-104729,2041/42,31,31,20,10,1,0,19,141,91,957869.9,202261.02,202261.02,0.0,153000,60204,-1872,0,-84,0,-6483.84,0,0,-2503.14
age15-104729,2042/43,32,27,15,11,0,0,15,141,91,1082682.07,124812.17,124812.17,0.0,76550,65091,-1872,0,-38,0,-6956.08,-180,0,-7782.75
age15-104729,2043/44,33,24,12,9,0,0,17,138,92,1206368.36,123686.29,123686.29,0.0,67200,69596,-156,0,-84,0,-6722,0,2000,-8147.71
age15-104729,2044/45,34,31,20,10,0,0,21,138,92,1355066.32,148697.96,148697.96,0.0,94100,71500,-1872,0,-122,0,-7273,0,1000,-8635.04
age15-104729,2045/46,35,34,23,9,1,0,27,144,93,1600193.31,245126.99,245126.99,0.0,188850,66342,-1872,0,-122,0,-7241.56,0,1000,-1829.45
age15-104729,2046/47,36,27,13,12,0,0,20,136,93,1798900.08,198706.77,198706.77,0.0,94950,125574,-1872,0,-84,0,-8107.32,-180,1400,-12973.91
age15-104729,2047/48,37,34,20,12,0,0,16,144,93,2071160.51,272260.43,272260.43,0.0,124600,173257,-1872,0,-122,0,-7843,0,2000,-17759.57
age15-104729,2048/49,38,22,11,9,0,0,15,143,93,2212354.67,141194.16,141194.16,0.0,50250,109340,-1872,0,-84,0,-6991.8,-180,1400,-10668.04
age15-104729,2049/50,39,38,27,9,0,0,21,138,93,2472534.45,260179.78,260179.78,0.0,204200,71488,-1872,0,-122,0,-6567.44,0,2000,-8946.78
age15-104729,2050/51,40,28,15,10,0,0,14,138,93,2611096.25,138561.8,138561.8,0.0,83000,73424,-1872,0,0,0,-7316.32,-180,400,-8893.88
age15-104729,2051/52,41,31,16,12,0,0,20,141,92,2779381.51,168285.26,168285.26,0.0,112850,72830,-1872,0,-122,0,-7566.68,-180,2000,-9654.06
age15-104729,2052/53,42,28,17,11,1,0,13,135,92,3064242.13,284860.62,284860.62,0.0,190450,104231,-1872,0,-84,0,-7853,0,2000,-2011.38
age15-104729,2053/54,43,35,23,11,1,0,27,141,91,3582344.41,518102.28,518102.28,0.0,406050,121094,-1872,0,-122,0,-8409,-720,2000,81.28
age15-104729,2054/55,44,25,13,11,0,0,16,142,90,3894397.41,312053,312053,0,90200,253500,-1794,0,-122,0,-8836,-180,1400,-22115
age15-104729,2055/56,45,19,9,10,0,0,10,141,90,4158211.63,263814.22,263814.22,0.0,71850,219284,-1794,0,0,0,-7981,-180,2000,-19364.78
age15-104729,2056/57,46,18,13,5,0,0,10,139,88,4177418.51,19206.88,19206.88,0.0,2690,24388,-1872,0,-84,-1235,-1632,0,200,-3248.12
age15-104729,2057/58,47,18,11,7,0,0,10,142,87,4192638.05,15219.54,15219.54,0.0,0,21944,-1014,0,0,-1335,-1937.76,0,450,-2887.7
age15-104729,2058/59,48,13,8,5,0,0,5,139,86,4210951.23,18313.18,18313.18,0.0,462.5,23194,-1014,0,-38,-375,-1568.28,0,200,-2548.04
age15-104729,2059/60,49,10,5,5,0,0,7,130,85,4223478.83,12527.6,12527.6,0.0,350,18012,-1872,0,-84,-375,-1499.88,0,50,-2053.52
age15-104729,2060/61,50,18,14,4,0,0,4,138,84,4239019.22,15540.39,15540.39,0.0,2890,18712,-1872,0,0,-375,-1436.16,0,200,-2578.45
age15-104729,2061/62,51,9,4,5,0,0,0,91,82,4256692.87,17673.65,17673.65,0.0,150,23550,-1872,0,0,-375,-1436.16,-180,300,-2463.19
age15-104729,2062/63,52,13,6,7,0,0,2,123,80,4270528.86,13835.99,13835.99,0.0,0,21175,-1872,0,0,-1335,-1937.76,0,300,-2494.25
age15-104729,2063/64,53,6,1,5,0,0,0,90,78,4285546.43,15017.57,15017.57,0.0,0,20601,-1872,0,-84,-375,-1436.16,0,300,-2116.27
age15-104729,2064/65,54,7,2,5,0,0,0,74,76,4298500.15,12953.72,12953.72,0.0,0,18762,-1872,0,0,-375,-1632,0,50,-1979.28
age15-104729,2065/66,55,6,1,5,0,0,0,64,74,4310920.91,12420.76,12420.76,0.0,0,18408,-1872,0,0,-375,-1632,-360,200,-1948.24
age15-104729,2066/67,56,6,0,6,0,0,0,58,72,4325380.43,14459.52,14459.52,0.0,0,20400,-1872,0,-38,-375,-1499.88,0,-50,-2105.6
age15-104729,2067/68,57,8,0,8,0,0,0,51,70,4338038.65,12658.22,12658.22,0.0,0,20106,-1872,0,0,-1335,-2202,0,50,-2088.78
age15-104729,2068/69,58,8,0,8,0,0,0,55,68,4342585.53,4546.88,4546.88,0.0,0,11308,-1872,0,0,-1335,-2202,0,50,-1402.12
age15-104729,2069/70,59,7,2,5,0,0,0,63,66,4346694.69,4109.16,4109.16,0.0,0,9170,-1755,0,0,-375,-1632,0,-50,-1248.84
age15-104729,2070/71,60,6,1,5,0,0,0,46,64,4356304.45,9609.76,9609.76,0.0,0,15219,-1833,0,0,-375,-1632,0,-50,-1719.24
age15-104729,2071/72,61,6,0,6,0,0,0,34,62,4369735.29,13430.84,13430.84,0.0,0,19263,-1872,0,0,-375,-1436.16,-180,50,-2019.0
age15-104729,2072/73,62,6,0,6,0,0,0,52,60,4382580.54,12845.25,12845.25,0.0,0,17436,-585,0,-84,-375,-1632,0,-50,-1864.75
age15-104729,2073/74,63,8,0,8,0,0,0,46,57,4394095.74,11515.2,11515.2,0.0,0,18194,-1443,0,0,-1335,-1937.76,0,-50,-1913.04
age15-104729,2074/75,64,4,0,4,0,0,0,37,55,4397267.0,3171.26,3171.26,0.0,0,17863,-1872,0,0,-275,-1291,0,-50,-11203.74
age15-104729,2075/76,65,6,0,6,0,0,0,20,53,4404978.57,7711.57,7711.57,0.0,0,20587,-1872,0,0,-375,-1219.68,0,-50,-9358.75
age15-130363,2026/27,16,30,20,10,1,0,0,59,66,4631.85,-3368.15,-3368.15,-0.0,2060,2950,-1500,0,-8515,-291,-2565,0,450,4042.85
age15-130363,2027/28,17,30,17,13,0,0,1,115,69,6225.65,1593.8,1593.8,0.0,38,2550,-1525,0,0,-300,-2565,-180,200.0,3375.8
age15-130363,2028/29,18,41,32,9,2,0,1,115,73,7854.86,1629.21,1629.21,0.0,1283,2748,-2620,0,-84,-300,-2565,0,300,2867.21
age15-130363,2029/30,19,48,38,10,1,0,1,102,76,12759.55,4904.69,4904.69,0.0,7853,10290,-7211,0,-38,-935,-4041,-1080,450,-383.31
age15-130363,2030/31,20,18,5,12,0,0,1,107,79,59051.21,46291.66,46291.66,0.0,14500,39106,-1872,0,-564,0,-5480.64,-180,1400,-617.7
age15-130363,2031/32,21,17,6,10,0,0,6,123,81,122851.32,63800.11,63800.11,-0.0,11600,64060,-1872,0,-38,0,-5514.84,-180,1400,-5655.05
age15-130363,2032/33,22,31,22,9,0,0,11,134,83,152068.03,29216.71,29216.71,0.0,3280,45068,-1872,0,-84,-1685,-3756,0,50,-11784.29
age15-130363,2033/34,23,22,10,11,0,0,8,134,84,204733.22,52665.19,52665.19,0.0,32250,31622,-1872,0,-84,0,-6513,0,2000,-4737.81
age15-130363,2034/35,24,17,6,10,0,0,8,123,85,270951.95,66218.73,66218.73,0.0,14000,65013,-1872,0,-38,0,-6228,0,2000,-6656.27
age15-130363,2035/36,25,34,26,8,1,0,14,137,87,319374.22,48422.27,48422.27,0.0,9170,51523,-1872,0,-84,-1685,-4041,-180,450,-4858.73
age15-130363,2036/37,26,21,10,10,0,0,15,138,87,367414.48,48040.26,48040.26,0.0,18100,43464,-1872,0,-38,0,-5480.64,-360,0,-5773.1
age15-130363,2037/38,27,25,16,9,0,0,24,140,88,475529.29,108114.81,108114.81,0.0,60000,62663,-1872,0,-84,0,-5815.04,-180,1000,-7597.15
age15-130363,2038/39,28,43,39,4,4,0,11,138,89,633933.72,158404.43,158404.43,0.0,95000,54223,-1872,0,-122,-725,-2838.0,0,300,14438.43
age15-130363,2039/40,29,31,19,10,1,0,19,141,90,798197.8,164264.08,164264.08,0.0,144600,29450,-1872,0,-84,0,-7234,0,1000,-1595.92
